Spanish;PoS;English
salario;nm;salary, wages
salida;nf;exit, escape, outcome
salir;v;to leave, go out
saliva;nf;saliva, spit
salón;nm;hall, room
salpicar;v;to splash, splatter
salsa;nf;sauce, salsa
saltar;v;to jump, leap, hop
salto;nm;jump, hop, skip
salud;nf;health
saludable;adj;healthy, wholesome
saludar;v;to greet, say hello
saludo;nm;greeting
salvación;nf;salvation, rescue
salvaje;adj;wild, savage, uncultivated
salvar;v;to save, rescue
salvo;prep;except for, but
sanción;nf;sanction, approval, penalty
sancionar;v;to sanction, penalize
sangre;nf;blood
sanguíneo;adj;blood, bloody
sanitario;adj;health, sanitary, clean
sano;adj;healthy, wholesome
santa;nf;saint (f)
santo;nm;saint (m)
sargento;nm;sergeant
satélite;nm;satellite
satisfacción;nf;satisfaction
satisfacer;v;to satisfy
satisfactorio;adj;satisfactory
satisfecho;adj;satisfied
se;pron;[“reflexive” marker]
secar;v;to dry
sección;nf;section, cut
seco;adj;dry, arid
secretaría;nf;secretary
secretario;nm/f;secretary
secreto;nm;secret
sector;nm;sector, area, section
secuencia;nf;sequence
secuestro;nm;kidnapping, seizure
secundario;adj;secondary
sed;nf;thirst
seda;nf;silk
sede;nf;headquarters, seat
segmento;nm;segment, sector
seguida;adv;en s.: right away, at once
seguidor;nm;follower, supporter, fan
seguimiento;nm;follow-up
seguir;v;to follow, keep on
según;prep;according to
segundo;adj;second
segundo;nm;second
seguramente;adv;surely, securely
seguridad;nf;security, safety
seguro;adj;safe, sure, secure
seguro;nm;insurance
seis;num;six
selección;nf;selection, choice
seleccionar;v;to select
sellar;v;to seal, stamp
sello;nm;stamp, seal
selva;nf;forest, jungle
semana;nf;week
semanal;adj;weekly
sembrar;v;to sow, plant
semejante;adj;similar, such, alike
semestre;nm;semester
semilla;nf;seed
seminario;nm;seminar, seminary
seña;nf;sign, mark, seal
senado;nm;senate
senador;nm/f;senator
señal;nf;sign, mark, token
señalar;v;to point (out), signal
sencillamente;adv;simply
sencillo;adj;simple, plain, easy
sendero;nm;(foot) path
seno;nm;breast, bosom, cavity
señor;nm;sir, Mr, lord
señora;nf;Mrs., lady, madam
señorita;nf;young woman
sensación;nf;sensation, feeling
sensibilidad;nf;sensitivity
sensible;adj;sensitive, sentient
sentar;v;to sit (down), seat
sentencia;nf;(legal) sentence, judgment
sentenciar;v;to sentence, condemn
sentido;nm;sense, feeling
sentimental;adj;sentimental
sentimiento;nm;feeling, sentiment
sentir;v;to feel, regret
separación;nf;separation
separar;v;to separate
septiembre;nm;September
ser;v;to be (norm)
ser;nm;being
sereno;adj;serene, calm
seriamente;adv;seriously
serie;nf;series
seriedad;nf;seriousness
serio;adj;serious
serpiente;nf;snake
servicio;nm;service, helpfulness
servidor;nm/f;servant
servir;v;to serve
sesenta;num;sixty
sesión;nf;session, meeting
setenta;num;seventy
severo;adj;severe
sexo;nm;sex
sexto;adj;sixth
sexual;adj;sexual
show;nm;show, display
si;conj;if, whether
sí;adv;yes
siempre;adv;always, forever
sierra;nf;mountain range, saw
siesta;nf;siesta, afternoon nap
siete;num;seven
siglo;nm;century, age
significado;nm;meaning
significar;v;to mean
significativo;adj;significant, meaningful
signo;nm;sign, mark, symbol
siguiente;adj;following, next
silencio;nm;silence
silencioso;adj;quiet, silent
silla;nf;chair, seat
sillón;nm;armchair, seat
silueta;nf;silhouette, outline
silvestre;adj;wild
simbólico;adj;symbolic
símbolo;nm;symbol
similar;adj;similar
simpatía;nf;sympathy, affinity
simpático;adj;nice, likeable, friendly
simple;adj;simple, mere, simple-minded
simplemente;adv;simply, just
simular;v;to pretend, simulate
simultáneamente;adv;simultaneously
sin;prep;without
sinceramente;adv;sincerely
sincero;adj;sincere
sindical;adj;labor union
sindicato;nm;trade union
síndrome;nm;syndrome
sinfonía;nf;symphony
singular;adj;single, singular
siniestro;adj;sinister
sino;conj;but, except, rather
síntesis;nf;synthesis
síntoma;nm;symptom
siquiera;adv;even (if)
sirena;nf;siren, mermaid
sistema;nm;system
sistemático;adj;systematic
sitio;nm;place, space
situación;nf;situation
situado;adj;situated, located
situar;v;to situate, place, locate
soberanía;nf;sovereignty
sobrar;v;to be too much, left over
sobre;prep;on top of, over, about
sobrepasar;v;to excel, outperform
sobresalir;v;to stand out, excel
sobrevivir;v;to survive, outlive
sobrino;nm;nephew
social;adj;social
socialismo;nm;socialism
socialista;adj;socialist
sociedad;nf;society
socio;nm/f;member, partner
sofá;nm;sofa, couch
sofisticado;adj;sophisticated
software;nm;software
sol;nm;sun
solamente;adv;only
solar;adj;solar
soldado;nm/f;soldier
soledad;nf;loneliness, solitude
solemne;adj;solemn
soler;v;to be accustomed to
solicitar;v;to solicit, request
solicitud;nf;request, application
solidaridad;nf;solidarity, togetherness
solidario;adj;united, jointly shared
sólido;adj;solid, strong
solitario;adj;solitary, lonely
solo;adj;lonely, alone
sólo;adv;only, just
soltar;v;to release, loosen, let out
soltero;adj;single, bachelor
solución;nf;solution, answer
solucionar;v;to solve, settle
sombra;nf;shade, shadow
sombrero;nm;hat, sombrero
sombrío;adj;shady, dark, dismal
someter;v;to subject
sonar;v;to sound, ring
soñar;v;to dream
sonido;nm;sound
sonoro;adj;loud, resounding
sonreír;v;to smile
sonriente;adj;smiling
sonrisa;nf;smile
sopa;nf;soup
soplar;v;to blow (wind)
soportar;v;to endure, stand (something)
soporte;nm;support, endorsement
sordo;adj;deaf, dull
sorprendente;adj;surprising, astonishing
sorprender;v;to surprise
sorpresa;nf;surprise
sospecha;nf;suspicion
sospechar;v;to suspect, suppose
sostener;v;to support, hold up
sostenible;adj;sustainable
soviético;adj;Soviet
su;adj;his/her/their/your (–fam)
suave;adj;soft, gentle, mild
suavemente;adv;softly
subasta;nf;auction
subir;v;to go up
súbito;adj;sudden
subjetivo;adj;subjective
subrayar;v;to underline, highlight, emphasize
subterráneo;adj;underground
suceder;v;to happen
sucesión;nf;succession, series
sucesivamente;adv;successively, one by one
sucesivo;adj;successive, following
suceso;nm;event, incident
sucesor;nm/f;successor
sucio;adj;dirty, filthy, underhanded
sudar;v;to sweat
sudor;nm;sweat, perspiration
sueco;adj;Swiss
sueldo;nm;salary, pay
suelo;nm;ground, floor
suelto;adj;loose
sueño;nm;dream, sleep
suerte;nf;luck, fortune
suficiente;adj;sufficient, enough
suficientemente;adv;enough
sufrimiento;nm;suffering
sufrir;v;to suffer, undergo
sugerencia;nf;suggestion
sugerir;v;to suggest, hint at
suicidio;nm;suicide
suizo;adj;Swiss
sujetar;v;to fasten, attach, hold
sujeto;nm;subject, individual
suma;nf;sum, amount, summary
sumamente;adv;extremely, highly
sumar;v;to add up, amount to
sumergir;v;to submerge, plunge
suministrar;v;to supply, provide
suministro;nm;supply, provision
sumir;v;to sink, plunge
superar;v;to overcome, surpass
superficial;adj;superficial
superficie;nf;surface, area
superior;adj;superior, upper
supervivencia;nf;survival
suplicar;v;to beg,
suponer;v;to suppose, assume
supremo;adj;supreme
suprimir;v;to suppress, delete
supuestamente;adv;supposedly, allegedly
supuesto;adj;supposed, por s.: of course
sur;nm;south
sureste;nm;southeast
surgir;v;to appear, spring (forth)
suscitar;v;to arouse, provoke
suscribir;v;to endorse, subscribe
suspender;v;to suspend, hang, fail
suspensión;nf;suspension
suspirar;v;to sigh
suspiro;nm;sigh
sustancia;nf;substance, essence
sustentar;v;to maintain, support
sustitución;nf;replacement, substitution
sustituir;v;to substitute, replace
susto;nm;fright, scare
susurrar;v;to whisper, murmur
sutil;adj;subtle
suyo;pron;his, hers, yours (−fam), theirs
tabaco;nm;tobacco, cigarette, cigar
tabla;nf;chart, board, table, plank
tal;adj;such (a)
talento;nm;talent, skill
talla;nf;size (of clothing), stature
taller;nm;workshop, shop
tamaño;nm;size, dimension
también;adv;also
tambor;nm;drum
tampoco;adv;neither, nor, either
tan;adv;such, as, too, so
tanque;nm;tank, large container
tanto;adj;so much, so many
tapa;nf;cover, lid
tapar;v;to cover, wrap
tardar;v;to delay, take long
tarde;nf;afternoon, evening
tarde;adv;late
tardío;adj;late, belated
tarea;nf;task, job
tarifa;nf;rate, tariff
tarjeta;nf;card
tasa;nf;rate, fee, levy
taxi;nm;taxi, cab
taza;nf;cup, bowl
te;pron;you (obj/+fam)
té;nm;tea
teatral;adj;theatrical
teatro;nm;theater, drama
techo;nm;roof
teclado;nm;keyboard
técnica;nf;technique, skill
técnico;adj;technical
técnico;nm/f;technician
tecnología;nf;technology
tecnológico;adj;technological
tejer;v;to sew, weave
tejido;nm;fabric, tissue
tela;nf;cloth, fabric
tele;nf;TV, television
telefónico;adj;telephone
teléfono;nm;phone, telephone
televisión;nf;TV, television
televisor;nm;television set
tema;nm;theme, subject, topic
temática;nf;theme
temblar;v;to tremble, shake
temblor;nm;tremor, shudder, shiver
tembloroso;adj;trembling, shaky
temer;v;to fear
temeroso;adj;fearful
temor;nm;fear
temperatura;nf;temperature
templo;nm;temple, church
temporada;nf;season, period, time
temporal;adj;temporary
temprano;adj;early
tendencia;nf;tendency, style
tender;v;to tend to, lay out
tendido;adj;spread, hung, laid (out)
tener;v;to have
teniente;nm;lieutenant, deputy mayor
teñir;v;to dye
tenis;nm;tennis
tensión;nf;tension, stress, strain
tenso;adj;tight, tense
tentación;nf;temptation
tentar;v;to tempt, entice
teología;nf;theology
teoría;nf;theory
teórico;adj;theoretical
terapia;nf;therapy
tercero;adj;third
tercio;nm;third
térmico;adj;thermal, heated
terminal;nm;terminal, final
terminar;v;to finish, end
término;nm;term (language), end
ternura;nf;tenderness
terraza;nf;terrace, balcony
terremoto;nm;earthquake
terreno;nm;ground, earth, terrain
terrestre;adj;earthly, of the earth
terrible;adj;terrible
territorial;adj;territorial, regional
territorio;nm;territory
terror;nm;terror, horror
terrorismo;nm;terrorism
terrorista;nc;terrorist
tesis;nf;thesis, exposition
tesoro;nm;treasure, thesaurus
testamento;nm;will, testament
testigo;nm/f;witness
testimonio;nm;testimony, evidence
texto;nm;text
textura;nf;texture
ti;pron;you (obj prep-sg/+fam)
tía;nf;aunt
tibio;adj;lukewarm
tiempo;nm;time (general)
tienda;nf;shop, store, tent
tierno;adj;tender, soft
tierra;nf;earth, land, ground
tigre;nm;tiger
timbre;nm;doorbell, bell, seal, stamp
tímido;adj;timid, shy, half-hearted
tinta;nf;ink
tío;nm;uncle, guy
típico;adj;typical
tipo;nm;type, kind
tirar;v;to throw, pull
tiro;nm;throw, shot
titular;nm;headline, holder
titular;v;to title, call
título;nm;title, heading
toalla;nf;towel
tocar;v;to touch, play (instrument)
todavía;adv;still, yet
todo;adj;all, every
tolerancia;nf;tolerance
tolerar;v;to tolerate, put up with
toma;nf;outlet, dose, making
tomar;v;to take, drink
tomate;nm;tomato
tonelada;nf;ton
tono;nm;tone
tontería;nf;stupidity, stupid thing
tonto;adj;stupid, dumb
topar;v;to run into, bump into
toque;nm;touch, ringing, warning
torcer;v;to twist, bend, distort
tormenta;nf;storm
tornar;v;to transform, turn
torneo;nm;tournament
torno;prep;en t. a: around
toro;nm;bull
torpe;adj;clumsy, awkward, slow
torre;nf;tower
tortura;nf;torture
torturar;v;to torture, torment
tos;nf;cough
total;adj;total, entire
total;nm;(sum) total
totalidad;nf;whole, totality
totalmente;adv;totally, completely
tóxico;adj;toxic
trabajador;nm/f;worker, laborer
trabajar;v;to work
trabajo;nm;work, job, effort
tradición;nf;tradition
tradicional;adj;traditional
tradicionalmente;adv;traditionally
traducción;nf;translation
traducir;v;to translate
traer;v;to bring, carry
tráfico;nm;traffic, trade
tragar;v;to swallow
tragedia;nf;tragedy
trágico;adj;tragic
trago;nm;swig, drink
traición;nf;treason, betrayal
traicionar;v;to betray
traje;nm;suit, dress, costume
trama;nf;plot, theme
trámite;nm;procedure, step, requirement
tramo;nm;section, stretch, plot
trampa;nf;trick, trap, hacer t.: to cheat
tranquilamente;adv;calmly, peacefully
tranquilidad;nf;tranquility, peace
tranquilizar;v;to calm down
tranquilo;adj;calm, tranquil, relaxed
transacción;nf;transaction, deal
transcurrir;v;to occur, take place
transcurso;nm;passing, course, lapse
transferencia;nf;transfer, transference
transferir;v;to transfer
transformación;nf;transformation
transformar;v;to transform, change
transición;nf;transition
transitar;v;to roam, go by
tránsito;nm;traffic, transit
transmisión;nf;broadcast, transmission
transmitir;v;to transmit, broadcast
transparencia;nf;transparency, slide
transparente;adj;transparent, clear
transportar;v;to transport, carry
transporte;nm;transportation, transport
tranvía;nm;trolley, tram, streetcar
trapo;nm;rag, cloth
tras;prep;after, behind
trascendencia;nf;transcendent nature, significance
trascender;v;to transcend
trasero;adj;behind, back
trasladar;v;to move, transfer
traslado;nm;transfer
traspasar;v;to go beyond, cross over
trastorno;nm;confusion, trouble, upheaval
tratamiento;nm;treatment, processing
tratar;v;to try, treat, deal with
trato;nm;treatment, manner, agreement
través;prep;a t. de: through, across
trayecto;nm;trajectory, course, path
trayectoria;nf;trajectory, path
trazar;v;to draw, trace
trece;num;thirteen
tregua;nf;truce, rest
treinta;num;thirty
tremendo;adj;tremendous, dreadful, huge
tren;nm;train, convoy
trepar;v;to climb
tres;num;three
trescientos;num;three hundred
triángulo;nm;triangle
tribu;nf;tribe
tribunal;nm;court
trigo;nm;wheat
triste;adj;sad, unhappy
tristeza;nf;sadness
triunfar;v;to triumph
triunfo;nm;triumph, victory
tronco;nm;trunk, torso
trono;nm;throne
tropa;nf;troops, forces
tropezar;v;to trip, stumble
tropical;adj;tropical
trozo;nm;piece, chunk
truco;nm;trick, ruse
tu;adj;your (+fam)
tú;pron;you (subj-sg/+fam)
tubo;nm;tube, pipe
tumba;nf;tomb, grave
tumbar;v;to knock over, cast down
tumor;nm;tumor, growth
túnel;nm;tunnel
turco;adj;Turkish
turismo;nm;tourism
turista;nc;tourist
turístico;adj;tourist
turno;nm;turn, shift, en t. a: around
tuyo;pron;yours (sg/+fam)
ubicación;nf;position, location
ubicar;v;to find, locate
últimamente;adv;lately, recently
último;adj;last, final
umbral;nm;threshold, outset
un;art;a, an
uña;nf;nail, fingernail, toenail
únicamente;adv;only
único;adj;only, unique, sole
unidad;nf;unit, unity
unido;adj;united
uniforme;nm;uniform
unión;nf;union
unir;v;to unite, join (together)
universal;adj;universal
universidad;nf;university, college
universitario;adj;university
universo;nm;universe
uno;num;one
urbano;adj;urban, city, urbane
urgencia;nf;urgency
urgente;adj;urgent
uruguayo;adj;Uruguayan
usado;adj;worn out, old, used
usar;v;to use
uso;nm;use
usted;pron;you (subj/–fam)
usuario;nm/f;user
útil;adj;useful
utilidad;nf;usefulness, utility
utilización;nf;use, utilization
utilizar;v;to use, utilize
vaca;nf;cow
vacaciones;nf;vacation
vaciar;v;to empty, pour out
vacilar;v;to vacillate, hesitate
vacío;adj;empty, vacant
vacío;nm;emptiness, void
vacuna;nf;vaccine, vaccination
vagar;v;to roam, wander
vago;adj;vague
valer;v;to be worth, cost
válido;adj;valid
valiente;adj;brave, courageous, bold
valioso;adj;valuable, precious
valle;nm;valley
valor;nm;value, worth
valoración;nf;assessment, valuation, evaluation
valorar;v;to value
vamos;interj;come on
vanguardia;nf;vanguard, forefront
vano;adj;vain, useless
vapor;nm;vapor, steam
variable;adj;variable, changeable
variación;nf;variation
variado;adj;varied, mixed
variante;nf;variant, difference
variar;v;to change, vary
variedad;nf;variety
varios;adj;several, various
varón;nm;male, man
vasco;adj;Basque
vaso;nm;(drinking) glass, vase
vasto;adj;vast, immense, huge
vecino;nm/f;neighbor
vegetación;nf;vegetation
vegetal;adj;plant, vegetable
vehículo;nm;vehicle, car
veinte;num;twenty
veinticinco;num;twenty-five
veinticuatro;num;twenty-four
vejez;nf;old age
vela;nf;candle, sail, vigil
velar;v;to watch over
velo;nm;veil
velocidad;nf;speed, velocity
veloz;adj;fast, quick
vena;nf;vein
vencer;v;to overcome, conquer
vendedor;nm/f;salesperson
vender;v;to sell
veneno;nm;poison, venom
venezolano;adj;Venezuelan
venganza;nf;revenge, vengeance
vengar;v;to take revenge, avenge
venir;v;to come
venta;nf;sale
ventaja;nf;advantage, benefit
ventana;nf;window
ventanilla;nf;(vehicle) window
ver;v;to see
verano;nm;summer
verbal;adj;verbal, oral
verbo;nm;verb
verdad;nf;truth
verdaderamente;adv;truly
verdadero;adj;true, real
verde;adj;green
verdura;nf;vegetables, greenery
vereda;nf;path, sidewalk
vergüenza;nf;embarrassment
verificar;v;to verify
versión;nf;version, account
verso;nm;verse, poem
verter;v;to pour, spill, shed
vertical;adj;vertical, upright
vestido;nm;dress
vestir;v;to wear, dress
vez;nf;time (specific occurrence), en v. de: instead of
vía;nf;road, way, por v.: by means
viable;adj;viable, feasible
viajar;v;to travel
viaje;nm;travel, trip
viajero;nm;traveler, passenger
vibración;nf;vibration
vibrar;v;to vibrate, tremble
vicepresidente;nm/f;vice president
vicio;nm;vice, bad habit, defect
víctima;nf;victim, casualty
victoria;nf;victory, triumph
vida;nf;life
vídeo;nm;video
vidrio;nm;glass, pane
viejo;adj;old, aged
viento;nm;wind, scent
vientre;nm;womb, belly
viernes;nm;Friday
vigencia;nf;validity
vigente;adj;in force, valid
vigilancia;nf;surveillance, vigilance
vigilar;v;to watch over, guard
vigor;nm;force, strength, vigor
villa;nf;village, town
vinculación;nf;link, connection
vincular;v;to conenct, link, bind
vínculo;nm;tie, bond, link
vino;nm;wine
violación;nf;violation, rape
violar;v;to violate, trespass, rape
violencia;nf;violence
violento;adj;violent
violín;nm;violin
virgen;nf;virgin
virtual;adj;virtual, potential
virtud;nf;virtue, quality
virus;nm;virus
visible;adj;visible
visión;nf;vision
visita;nf;visit, visitor, guest
visitante;nc;visitor
visitar;v;to visit
víspera;nf;eve
vista;nf;view, sight
visual;adj;visual
vital;adj;vital, lively, essential
vitamina;nf;vitamin
viuda;nf;widow
vivienda;nf;housing, dwelling
vivir;v;to live
vivo;adj;alive, bright
vocación;nf;vocation, calling
volante;nm;steering wheel
volar;v;to fly
volcán;nm;volcano
volcar;v;to turn/knock over, empty
voltear;v;to turn over, turn around
volumen;nm;volume
voluntad;nf;will, willpower, intention
voluntario;adj;voluntary, volunteer
volver;v;to return, to, v, again
vos;pron;you (subj-sg/+fam)
vosotros;pron;you (subj-pl/+fam)
votación;nf;vote, voting
votar;v;to vote
voto;nm;vote
voz;nf;voice
vuelo;nm;flight
vuelta;nf;return, turn
vuestro;adj;your (pl/+fam)
vulgar;adj;vulgar, common, banal
vulnerable;adj;vulnerable
web;nm;Internet, web
whisky;nm;whisky
y;conj;and
ya;adv;already, still
yacer;v;to lie, be located
yacimiento;nm;deposit, field
yo;pron;I (subj)
zapatilla;nf;slipper, shoe
zapato;nm;shoe
zona;nf;area, zone
